"","h_34_37","h_36_38","h_38_41","h_38_42","h_39_45","h_40_48","h_40_49","h_41_49","h_41_50","h_42_51","h_42_52","h_42_53","h_43_53","h_43_54","h_43_55","h_43_56","h_44_56","h_44_57","h_44_58"
"pr.redux.catch",0.415982142857143,0.413384444444444,0.463825396825397,0.419225951557093,0.441675550660793,0.43948,0.416475409836066,0.463593625498008,0.431579182156134,0.45055,0.429215111940298,0.415633333333334,0.452200449438202,0.437542984409799,0.426092778993435,0.41069188034188,0.450736868686868,0.44214289276808,0.434230215827338
"13",0.000202641088858117,0.000649076688410736,0.00429907627955615,0.00808798969318127,0.0558250163231042,0.228292304787271,0.290574519630222,0.295971042144023,0.414719919618186,0.601352118697851,0.725667486650267,0.795038140331941,0.8063114476212,0.897118006311393,0.978431116012186,0.99658282029655,0.996774244494105,1,1
"14",0.000236414603667804,0.000713984357251809,0.00482193690815082,0.00911389989025147,0.0626185368280322,0.252134246330289,0.318727643236341,0.324643599047814,0.449529203108706,0.642570361611587,0.767156656866863,0.83362914577897,0.84536670810261,0.929674539336309,0.998490738837075,1,1,0.994068560462885,0.987153656730554
"15",0.0000675470296193725,0.000194723006523221,0.0015976296984837,0.00329245598129503,0.0277492771196717,0.130509535782789,0.171087730345726,0.174317734012107,0.253705099221301,0.38047711619269,0.467516649667007,0.517545665466725,0.52512713300938,0.590758989549044,0.651215819673663,0.668687282731221,0.669144878668951,0.67313842933155,0.686773088116271
"16",0.0000337735148096862,0.0000973615032616104,0.000871434380991111,0.00178937825070382,0.0147840686503125,0.0682263145864183,0.0889722666806601,0.0906537806585059,0.130955371347233,0.19492153836904,0.238339233215336,0.262948517506718,0.266787207594078,0.298796857909913,0.327598452423229,0.33453676916892,0.33473629350032,0.336074928037682,0.620288956622066
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000287122379553979,0.284827194296637
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000287122379553979,0.271911969830036
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
